step,MR:0.0 ID:C Mode:none_mean_opinions,MR:0.0 ID:C Mode:none_non_zealot_variance,MR:0.0 ID:C Mode:none_cluster_variance,MR:0.0 ID:C Mode:none_negative_counts,MR:0.0 ID:C Mode:none_negative_means,MR:0.0 ID:C Mode:none_positive_counts,MR:0.0 ID:C Mode:none_positive_means,MR:0.0 ID:C Mode:none_polarization_index,MR:0.0 ID:C Mode:clustered_mean_opinions,MR:0.0 ID:C Mode:clustered_non_zealot_variance,MR:0.0 ID:C Mode:clustered_cluster_variance,MR:0.0 ID:C Mode:clustered_negative_counts,MR:0.0 ID:C Mode:clustered_negative_means,MR:0.0 ID:C Mode:clustered_positive_counts,MR:0.0 ID:C Mode:clustered_positive_means,MR:0.0 ID:C Mode:clustered_polarization_index,MR:0.0 ID:C Mode:random_mean_opinions,MR:0.0 ID:C Mode:random_non_zealot_variance,MR:0.0 ID:C Mode:random_cluster_variance,MR:0.0 ID:C Mode:random_negative_counts,MR:0.0 ID:C Mode:random_negative_means,MR:0.0 ID:C Mode:random_positive_counts,MR:0.0 ID:C Mode:random_positive_means,MR:0.0 ID:C Mode:random_polarization_index,MR:0.0 ID:C Mode:high-degree_mean_opinions,MR:0.0 ID:C Mode:high-degree_non_zealot_variance,MR:0.0 ID:C Mode:high-degree_cluster_variance,MR:0.0 ID:C Mode:high-degree_negative_counts,MR:0.0 ID:C Mode:high-degree_negative_means,MR:0.0 ID:C Mode:high-degree_positive_counts,MR:0.0 ID:C Mode:high-degree_positive_means,MR:0.0 ID:C Mode:high-degree_polarization_index,MR:0.3 ID:C Mode:none_mean_opinions,MR:0.3 ID:C Mode:none_non_zealot_variance,MR:0.3 ID:C Mode:none_cluster_variance,MR:0.3 ID:C Mode:none_negative_counts,MR:0.3 ID:C Mode:none_negative_means,MR:0.3 ID:C Mode:none_positive_counts,MR:0.3 ID:C Mode:none_positive_means,MR:0.3 ID:C Mode:none_polarization_index,MR:0.3 ID:C Mode:clustered_mean_opinions,MR:0.3 ID:C Mode:clustered_non_zealot_variance,MR:0.3 ID:C Mode:clustered_cluster_variance,MR:0.3 ID:C Mode:clustered_negative_counts,MR:0.3 ID:C Mode:clustered_negative_means,MR:0.3 ID:C Mode:clustered_positive_counts,MR:0.3 ID:C Mode:clustered_positive_means,MR:0.3 ID:C Mode:clustered_polarization_index,MR:0.3 ID:C Mode:random_mean_opinions,MR:0.3 ID:C Mode:random_non_zealot_variance,MR:0.3 ID:C Mode:random_cluster_variance,MR:0.3 ID:C Mode:random_negative_counts,MR:0.3 ID:C Mode:random_negative_means,MR:0.3 ID:C Mode:random_positive_counts,MR:0.3 ID:C Mode:random_positive_means,MR:0.3 ID:C Mode:random_polarization_index,MR:0.3 ID:C Mode:high-degree_mean_opinions,MR:0.3 ID:C Mode:high-degree_non_zealot_variance,MR:0.3 ID:C Mode:high-degree_cluster_variance,MR:0.3 ID:C Mode:high-degree_negative_counts,MR:0.3 ID:C Mode:high-degree_negative_means,MR:0.3 ID:C Mode:high-degree_positive_counts,MR:0.3 ID:C Mode:high-degree_positive_means,MR:0.3 ID:C Mode:high-degree_polarization_index
32,0.0040,0.0015,0.0003,237.8000,-0.0168,262.2000,0.0217,0.0000,0.0710,0.0113,0.0020,178.5000,-0.0153,301.5000,0.0594,0.0000,0.1056,0.0157,0.0052,126.3000,-0.0145,353.7000,0.0978,0.0000,0.1432,0.0245,0.0061,96.6000,-0.0144,383.4000,0.1383,0.0000,-0.0188,0.0884,0.0342,258.8000,-0.2581,241.2000,0.2370,19.3174,0.0702,0.0909,0.0376,219.1000,-0.2400,260.9000,0.2595,21.2211,0.1017,0.0886,0.0397,193.4000,-0.2332,286.6000,0.2659,20.2189,0.1380,0.0835,0.0351,168.3000,-0.2220,311.7000,0.2781,19.4034
33,0.0042,0.0016,0.0003,237.7000,-0.0166,262.3000,0.0219,0.0000,0.0719,0.0116,0.0020,176.5000,-0.0151,303.5000,0.0603,0.0000,0.1076,0.0163,0.0053,124.5000,-0.0143,355.5000,0.0999,0.0000,0.1454,0.0251,0.0062,93.8000,-0.0142,386.2000,0.1400,0.0000,-0.0193,0.0910,0.0347,259.0000,-0.2623,241.0000,0.2408,19.9388,0.0707,0.0933,0.0383,219.0000,-0.2438,261.0000,0.2633,22.0319,0.1031,0.0910,0.0404,193.0000,-0.2366,287.0000,0.2699,21.0836,0.1397,0.0857,0.0356,167.9000,-0.2254,312.1000,0.2820,20.3311
34,0.0045,0.0018,0.0003,237.9000,-0.0165,262.1000,0.0223,0.0000,0.0729,0.0119,0.0020,174.6000,-0.0149,305.4000,0.0612,0.0000,0.1096,0.0169,0.0054,122.6000,-0.0140,357.4000,0.1020,0.0000,0.1475,0.0256,0.0063,92.1000,-0.0139,387.9000,0.1419,0.0000,-0.0198,0.0935,0.0352,259.5000,-0.2659,240.5000,0.2449,20.4581,0.0710,0.0956,0.0389,218.6000,-0.2477,261.4000,0.2666,22.6882,0.1044,0.0932,0.0410,192.6000,-0.2398,287.4000,0.2738,21.6034,0.1413,0.0877,0.0362,167.4000,-0.2290,312.6000,0.2857,20.8638
35,0.0048,0.0019,0.0003,239.0000,-0.0164,261.0000,0.0227,0.0000,0.0738,0.0122,0.0021,172.8000,-0.0147,307.2000,0.0622,0.0000,0.1116,0.0175,0.0055,121.0000,-0.0138,359.0000,0.1041,0.0000,0.1496,0.0262,0.0064,89.6000,-0.0136,390.4000,0.1436,0.0000,-0.0202,0.0959,0.0357,259.7000,-0.2698,240.3000,0.2484,21.1193,0.0714,0.0979,0.0395,218.3000,-0.2515,261.7000,0.2699,23.1999,0.1057,0.0954,0.0416,191.8000,-0.2434,288.2000,0.2770,22.0879,0.1429,0.0897,0.0366,166.4000,-0.2331,313.6000,0.2887,21.3591
36,0.0051,0.0021,0.0003,239.1000,-0.0163,260.9000,0.0231,0.0000,0.0748,0.0125,0.0021,171.1000,-0.0146,308.9000,0.0631,0.0000,0.1136,0.0181,0.0056,118.6000,-0.0137,361.4000,0.1060,0.0000,0.1517,0.0267,0.0065,87.3000,-0.0134,392.7000,0.1453,0.0000,-0.0207,0.0982,0.0361,260.2000,-0.2733,239.8000,0.2525,21.5483,0.0718,0.1001,0.0400,218.4000,-0.2546,261.6000,0.2736,23.6998,0.1070,0.0975,0.0421,191.7000,-0.2461,288.3000,0.2809,22.6015,0.1445,0.0916,0.0371,166.3000,-0.2359,313.7000,0.2925,21.6671
37,0.0054,0.0023,0.0003,238.4000,-0.0164,261.6000,0.0235,0.0000,0.0757,0.0128,0.0021,169.0000,-0.0144,311.0000,0.0641,0.0000,0.1156,0.0186,0.0057,117.0000,-0.0135,363.0000,0.1081,0.0000,0.1538,0.0272,0.0066,85.4000,-0.0131,394.6000,0.1470,0.0000,-0.0211,0.1005,0.0366,260.7000,-0.2765,239.3000,0.2562,21.9525,0.0722,0.1022,0.0406,217.9000,-0.2583,262.1000,0.2764,23.9348,0.1082,0.0996,0.0426,191.6000,-0.2487,288.4000,0.2846,22.8574,0.1460,0.0935,0.0376,166.3000,-0.2383,313.7000,0.2962,22.0271
38,0.0057,0.0024,0.0004,238.3000,-0.0164,261.7000,0.0239,0.0000,0.0767,0.0131,0.0022,166.1000,-0.0144,313.9000,0.0648,0.0000,0.1175,0.0192,0.0058,114.7000,-0.0134,365.3000,0.1100,0.0000,0.1558,0.0277,0.0067,82.7000,-0.0130,397.3000,0.1485,0.0000,-0.0215,0.1027,0.0370,260.8000,-0.2800,239.2000,0.2593,22.2198,0.0726,0.1043,0.0410,217.9000,-0.2613,262.1000,0.2796,24.3013,0.1094,0.1016,0.0431,191.1000,-0.2519,288.9000,0.2878,23.1566,0.1474,0.0953,0.0380,165.6000,-0.2418,314.4000,0.2991,22.2898
39,0.0060,0.0026,0.0004,237.7000,-0.0165,262.3000,0.0243,0.0000,0.0777,0.0134,0.0022,164.1000,-0.0142,315.9000,0.0658,0.0000,0.1195,0.0198,0.0059,112.5000,-0.0133,367.5000,0.1118,0.0000,0.1578,0.0282,0.0067,80.2000,-0.0129,399.8000,0.1499,0.0000,-0.0220,0.1049,0.0373,260.3000,-0.2841,239.7000,0.2618,22.6582,0.0730,0.1063,0.0415,217.7000,-0.2643,262.3000,0.2825,24.6560,0.1106,0.1035,0.0435,190.8000,-0.2546,289.2000,0.2911,23.4379,0.1488,0.0970,0.0384,165.4000,-0.2443,314.6000,0.3024,22.6455
40,0.0062,0.0028,0.0004,237.9000,-0.0165,262.1000,0.0248,0.0000,0.0787,0.0137,0.0022,161.8000,-0.0142,318.2000,0.0667,0.0046,0.1214,0.0204,0.0060,110.4000,-0.0132,369.6000,0.1137,0.0000,0.1598,0.0286,0.0068,77.2000,-0.0129,402.8000,0.1511,0.0000,-0.0224,0.1070,0.0377,260.3000,-0.2874,239.7000,0.2646,22.9936,0.0734,0.1083,0.0419,217.5000,-0.2675,262.5000,0.2854,24.9709,0.1117,0.1054,0.0439,190.9000,-0.2567,289.1000,0.2946,23.6913,0.1501,0.0987,0.0387,165.4000,-0.2466,314.6000,0.3057,23.0377
41,0.0065,0.0030,0.0004,237.8000,-0.0165,262.2000,0.0253,0.0000,0.0797,0.0140,0.0023,160.4000,-0.0140,319.6000,0.0678,0.0046,0.1234,0.0210,0.0061,108.7000,-0.0130,371.3000,0.1157,0.0000,0.1617,0.0291,0.0069,75.5000,-0.0127,404.5000,0.1528,0.0000,-0.0228,0.1090,0.0380,260.0000,-0.2911,240.0000,0.2670,23.3668,0.0738,0.1102,0.0423,217.9000,-0.2697,262.1000,0.2888,25.2130,0.1128,0.1072,0.0444,191.1000,-0.2585,288.9000,0.2981,23.8646,0.1514,0.1003,0.0391,165.0000,-0.2493,315.0000,0.3084,23.2101
42,0.0068,0.0032,0.0004,236.3000,-0.0167,263.7000,0.0256,0.0000,0.0807,0.0143,0.0023,158.0000,-0.0140,322.0000,0.0686,0.0047,0.1253,0.0215,0.0062,106.9000,-0.0129,373.1000,0.1175,0.0000,0.1636,0.0295,0.0070,72.9000,-0.0126,407.1000,0.1540,0.0000,-0.0232,0.1110,0.0383,260.0000,-0.2943,240.0000,0.2697,23.7508,0.0741,0.1120,0.0427,218.0000,-0.2721,262.0000,0.2918,25.4253,0.1138,0.1089,0.0447,190.7000,-0.2611,289.3000,0.3009,24.1458,0.1526,0.1019,0.0394,164.5000,-0.2521,315.5000,0.3110,23.3169
43,0.0071,0.0034,0.0004,235.4000,-0.0169,264.6000,0.0260,0.0000,0.0817,0.0146,0.0023,156.2000,-0.0140,323.8000,0.0696,0.0049,0.1272,0.0221,0.0063,105.2000,-0.0129,374.8000,0.1194,0.0000,0.1655,0.0299,0.0071,71.4000,-0.0124,408.6000,0.1557,0.0000,-0.0235,0.1129,0.0386,259.8000,-0.2975,240.2000,0.2720,23.8667,0.0744,0.1138,0.0431,218.0000,-0.2747,262.0000,0.2945,25.5841,0.1148,0.1107,0.0451,190.5000,-0.2635,289.5000,0.3038,24.3108,0.1538,0.1034,0.0397,164.3000,-0.2543,315.7000,0.3137,23.4504
44,0.0074,0.0036,0.0004,234.3000,-0.0171,265.7000,0.0264,0.0000,0.0827,0.0149,0.0024,154.2000,-0.0139,325.8000,0.0706,0.0051,0.1292,0.0226,0.0064,103.2000,-0.0128,376.8000,0.1213,0.0000,0.1674,0.0303,0.0071,69.3000,-0.0124,410.7000,0.1571,0.0000,-0.0239,0.1147,0.0389,259.6000,-0.3006,240.4000,0.2742,24.1860,0.0747,0.1156,0.0435,218.2000,-0.2768,261.8000,0.2972,25.8915,0.1157,0.1123,0.0454,190.3000,-0.2655,289.7000,0.3064,24.4665,0.1550,0.1049,0.0400,164.1000,-0.2563,315.9000,0.3162,23.6642
45,0.0077,0.0039,0.0004,233.7000,-0.0172,266.3000,0.0269,0.0001,0.0838,0.0152,0.0024,152.6000,-0.0139,327.4000,0.0717,0.0053,0.1311,0.0232,0.0065,101.4000,-0.0127,378.6000,0.1231,0.0000,0.1693,0.0307,0.0072,67.6000,-0.0123,412.4000,0.1586,0.0000,-0.0242,0.1165,0.0391,260.2000,-0.3027,239.8000,0.2773,24.4824,0.0749,0.1172,0.0438,218.2000,-0.2790,261.8000,0.2996,26.2125,0.1166,0.1139,0.0457,190.1000,-0.2676,289.9000,0.3091,24.7789,0.1560,0.1063,0.0403,164.1000,-0.2582,315.9000,0.3189,23.8361
46,0.0080,0.0041,0.0004,232.3000,-0.0175,267.7000,0.0274,0.0002,0.0848,0.0155,0.0024,150.3000,-0.0139,329.7000,0.0727,0.0055,0.1330,0.0237,0.0066,99.2000,-0.0127,380.8000,0.1247,0.0000,0.1711,0.0311,0.0073,65.4000,-0.0123,414.6000,0.1600,0.0000,-0.0245,0.1182,0.0393,260.4000,-0.3051,239.6000,0.2798,24.7548,0.0752,0.1189,0.0441,218.4000,-0.2810,261.6000,0.3022,26.3800,0.1175,0.1155,0.0460,189.7000,-0.2701,290.3000,0.3114,25.0191,0.1571,0.1076,0.0406,163.4000,-0.2611,316.6000,0.3208,24.0700
47,0.0083,0.0043,0.0005,232.0000,-0.0176,268.0000,0.0279,0.0003,0.0859,0.0158,0.0025,148.6000,-0.0139,331.4000,0.0737,0.0057,0.1348,0.0243,0.0067,96.7000,-0.0128,383.3000,0.1262,0.0000,0.1729,0.0315,0.0074,63.4000,-0.0123,416.6000,0.1613,0.0000,-0.0248,0.1199,0.0396,261.1000,-0.3070,238.9000,0.2829,25.0240,0.0754,0.1204,0.0444,218.0000,-0.2835,262.0000,0.3040,26.8581,0.1184,0.1169,0.0463,189.5000,-0.2720,290.5000,0.3138,25.3920,0.1581,0.1090,0.0408,163.5000,-0.2625,316.5000,0.3233,24.2377
48,0.0086,0.0045,0.0005,231.5000,-0.0178,268.5000,0.0285,0.0003,0.0869,0.0162,0.0025,146.7000,-0.0139,333.3000,0.0747,0.0059,0.1367,0.0248,0.0067,95.4000,-0.0127,384.6000,0.1282,0.0000,0.1747,0.0319,0.0074,61.8000,-0.0122,418.2000,0.1627,0.0000,-0.0251,0.1215,0.0398,261.3000,-0.3092,238.7000,0.2853,25.3063,0.0757,0.1219,0.0446,218.1000,-0.2853,261.9000,0.3063,27.0356,0.1193,0.1184,0.0465,189.4000,-0.2738,290.6000,0.3163,25.6526,0.1591,0.1102,0.0411,163.2000,-0.2645,316.8000,0.3254,24.4222
49,0.0089,0.0048,0.0005,230.2000,-0.0181,269.8000,0.0290,0.0003,0.0880,0.0165,0.0025,145.0000,-0.0139,335.0000,0.0758,0.0061,0.1386,0.0253,0.0068,93.6000,-0.0127,386.4000,0.1299,0.0000,0.1765,0.0322,0.0075,60.5000,-0.0121,419.5000,0.1642,0.0000,-0.0254,0.1231,0.0400,261.1000,-0.3119,238.9000,0.2872,25.5826,0.0759,0.1234,0.0449,218.3000,-0.2870,261.7000,0.3087,27.2257,0.1201,0.1198,0.0468,189.2000,-0.2756,290.8000,0.3186,25.8177,0.1600,0.1115,0.0413,163.5000,-0.2656,316.5000,0.3280,24.5687
50,0.0092,0.0050,0.0005,229.8000,-0.0183,270.2000,0.0296,0.0003,0.0890,0.0168,0.0026,143.0000,-0.0140,337.0000,0.0768,0.0065,0.1404,0.0259,0.0069,92.2000,-0.0126,387.8000,0.1318,0.0000,0.1783,0.0325,0.0076,59.2000,-0.0120,420.8000,0.1658,0.0000,-0.0257,0.1246,0.0402,261.4000,-0.3139,238.6000,0.2897,25.7033,0.0762,0.1248,0.0451,218.2000,-0.2890,261.8000,0.3106,27.4977,0.1209,0.1211,0.0470,189.0000,-0.2774,291.0000,0.3208,26.0991,0.1609,0.1126,0.0415,163.7000,-0.2667,316.3000,0.3304,24.9073
51,0.0095,0.0052,0.0005,228.8000,-0.0186,271.2000,0.0302,0.0003,0.0901,0.0171,0.0026,141.1000,-0.0140,338.9000,0.0779,0.0066,0.1423,0.0264,0.0070,91.2000,-0.0125,388.8000,0.1337,0.0000,0.1800,0.0329,0.0076,58.0000,-0.0119,422.0000,0.1673,0.0000,-0.0260,0.1261,0.0404,261.6000,-0.3160,238.4000,0.2918,25.8468,0.0764,0.1261,0.0453,217.9000,-0.2912,262.1000,0.3123,27.6664,0.1217,0.1224,0.0472,189.0000,-0.2789,291.0000,0.3231,26.2860,0.1618,0.1138,0.0417,163.3000,-0.2689,316.7000,0.3321,24.9488
52,0.0099,0.0055,0.0005,227.7000,-0.0189,272.3000,0.0308,0.0003,0.0912,0.0174,0.0027,140.3000,-0.0140,339.7000,0.0792,0.0068,0.1441,0.0269,0.0071,89.5000,-0.0125,390.5000,0.1354,0.0000,0.1818,0.0332,0.0077,56.1000,-0.0119,423.9000,0.1685,0.0000,-0.0262,0.1275,0.0405,261.7000,-0.3180,238.3000,0.2938,26.1585,0.0767,0.1274,0.0455,218.0000,-0.2928,262.0000,0.3144,27.9420,0.1225,0.1237,0.0474,188.7000,-0.2809,291.3000,0.3250,26.4852,0.1626,0.1149,0.0418,163.0000,-0.2710,317.0000,0.3338,25.0777
53,0.0102,0.0057,0.0006,227.5000,-0.0192,272.5000,0.0315,0.0003,0.0922,0.0178,0.0027,138.2000,-0.0141,341.8000,0.0801,0.0071,0.1459,0.0274,0.0072,87.8000,-0.0125,392.2000,0.1371,0.0000,0.1835,0.0335,0.0078,54.4000,-0.0120,425.6000,0.1698,0.0000,-0.0265,0.1289,0.0407,261.7000,-0.3201,238.3000,0.2957,26.3996,0.0770,0.1287,0.0457,218.2000,-0.2943,261.8000,0.3166,28.1372,0.1232,0.1249,0.0476,189.0000,-0.2819,291.0000,0.3277,26.5841,0.1634,0.1159,0.0420,163.0000,-0.2721,317.0000,0.3358,25.2554
54,0.0105,0.0060,0.0006,226.5000,-0.0195,273.5000,0.0321,0.0006,0.0933,0.0181,0.0027,136.4000,-0.0141,343.6000,0.0812,0.0072,0.1478,0.0279,0.0072,86.6000,-0.0124,393.4000,0.1389,0.0000,0.1852,0.0338,0.0078,52.9000,-0.0120,427.1000,0.1712,0.0000,-0.0267,0.1302,0.0408,262.2000,-0.3215,237.8000,0.2981,26.6441,0.0772,0.1299,0.0458,218.6000,-0.2954,261.4000,0.3189,28.3355,0.1239,0.1261,0.0477,188.9000,-0.2834,291.1000,0.3296,26.7768,0.1642,0.1169,0.0422,162.9000,-0.2734,317.1000,0.3376,25.4302
55,0.0108,0.0062,0.0006,225.9000,-0.0198,274.1000,0.0328,0.0006,0.0944,0.0184,0.0028,134.3000,-0.0143,345.7000,0.0821,0.0072,0.1496,0.0284,0.0073,85.1000,-0.0124,394.9000,0.1406,0.0000,0.1869,0.0341,0.0079,51.6000,-0.0120,428.4000,0.1726,0.0000,-0.0269,0.1315,0.0410,262.3000,-0.3234,237.7000,0.2999,26.9211,0.0774,0.1311,0.0459,218.1000,-0.2977,261.9000,0.3200,28.4536,0.1246,0.1272,0.0479,188.4000,-0.2857,291.6000,0.3310,26.9602,0.1650,0.1179,0.0423,162.9000,-0.2746,317.1000,0.3395,25.6020
56,0.0112,0.0064,0.0006,224.7000,-0.0202,275.3000,0.0335,0.0006,0.0955,0.0188,0.0028,131.8000,-0.0144,348.2000,0.0829,0.0072,0.1513,0.0288,0.0074,83.1000,-0.0125,396.9000,0.1421,0.0000,0.1886,0.0344,0.0079,49.9000,-0.0121,430.1000,0.1738,0.0000,-0.0272,0.1328,0.0411,262.2000,-0.3254,237.8000,0.3015,27.1743,0.0776,0.1322,0.0461,218.5000,-0.2987,261.5000,0.3222,28.5941,0.1253,0.1283,0.0480,188.3000,-0.2870,291.7000,0.3329,27.1453,0.1657,0.1189,0.0424,163.1000,-0.2756,316.9000,0.3415,25.7859
57,0.0115,0.0067,0.0006,224.4000,-0.0205,275.6000,0.0343,0.0006,0.0966,0.0191,0.0029,130.4000,-0.0145,349.6000,0.0841,0.0072,0.1531,0.0293,0.0075,80.9000,-0.0126,399.1000,0.1435,0.0000,0.1902,0.0347,0.0080,49.0000,-0.0120,431.0000,0.1754,0.0000,-0.0274,0.1340,0.0412,261.9000,-0.3276,238.1000,0.3027,27.3428,0.0778,0.1333,0.0462,218.4000,-0.3003,261.6000,0.3237,28.7729,0.1259,0.1294,0.0482,188.2000,-0.2884,291.8000,0.3347,27.2407,0.1664,0.1198,0.0426,163.3000,-0.2764,316.7000,0.3434,25.9223
58,0.0119,0.0070,0.0007,224.5000,-0.0207,275.5000,0.0352,0.0006,0.0976,0.0194,0.0029,129.0000,-0.0146,351.0000,0.0853,0.0074,0.1549,0.0298,0.0075,78.7000,-0.0128,401.3000,0.1448,0.0000,0.1919,0.0349,0.0081,48.0000,-0.0119,432.0000,0.1768,0.0000,-0.0276,0.1352,0.0413,261.9000,-0.3294,238.1000,0.3042,27.5150,0.0779,0.1344,0.0463,218.1000,-0.3020,261.9000,0.3248,29.0500,0.1266,0.1304,0.0483,188.2000,-0.2895,291.8000,0.3365,27.4574,0.1670,0.1207,0.0427,163.4000,-0.2773,316.6000,0.3452,25.9641
59,0.0122,0.0072,0.0007,224.0000,-0.0211,276.0000,0.0360,0.0010,0.0987,0.0197,0.0029,126.9000,-0.0147,353.1000,0.0863,0.0074,0.1566,0.0303,0.0076,77.5000,-0.0127,402.5000,0.1465,0.0000,0.1935,0.0352,0.0081,46.9000,-0.0119,433.1000,0.1782,0.0000,-0.0278,0.1363,0.0414,261.8000,-0.3313,238.2000,0.3055,27.9120,0.0781,0.1354,0.0464,217.9000,-0.3038,262.1000,0.3261,29.1723,0.1272,0.1314,0.0484,188.4000,-0.2902,291.6000,0.3384,27.5992,0.1676,0.1216,0.0428,163.3000,-0.2787,316.7000,0.3466,25.9534
60,0.0126,0.0075,0.0007,224.0000,-0.0214,276.0000,0.0369,0.0013,0.0998,0.0201,0.0030,125.4000,-0.0149,354.6000,0.0874,0.0170,0.1584,0.0307,0.0077,75.4000,-0.0130,404.6000,0.1478,0.0000,0.1952,0.0355,0.0082,45.9000,-0.0119,434.1000,0.1797,0.0000,-0.0280,0.1374,0.0415,261.4000,-0.3334,238.6000,0.3065,28.1412,0.0783,0.1364,0.0465,218.4000,-0.3045,261.6000,0.3281,29.3990,0.1277,0.1323,0.0485,188.4000,-0.2914,291.6000,0.3401,27.8046,0.1682,0.1224,0.0429,163.1000,-0.2801,316.9000,0.3478,26.0438
61,0.0130,0.0077,0.0008,223.7000,-0.0217,276.3000,0.0378,0.0020,0.1009,0.0204,0.0030,124.3000,-0.0150,355.7000,0.0886,0.0171,0.1601,0.0312,0.0078,73.7000,-0.0132,406.3000,0.1493,0.0000,0.1968,0.0357,0.0083,44.2000,-0.0120,435.8000,0.1808,0.0000,-0.0281,0.1385,0.0416,261.3000,-0.3351,238.7000,0.3078,28.3674,0.0784,0.1374,0.0466,218.7000,-0.3055,261.3000,0.3300,29.5063,0.1283,0.1332,0.0487,188.4000,-0.2924,291.6000,0.3417,27.9415,0.1687,0.1232,0.0430,163.2000,-0.2810,316.8000,0.3494,26.2019
62,0.0133,0.0080,0.0008,223.2000,-0.0221,276.8000,0.0386,0.0035,0.1020,0.0207,0.0031,122.4000,-0.0152,357.6000,0.0897,0.0174,0.1618,0.0316,0.0078,72.6000,-0.0132,407.4000,0.1509,0.0000,0.1984,0.0360,0.0083,42.9000,-0.0121,437.1000,0.1821,0.0000,-0.0282,0.1396,0.0417,261.5000,-0.3364,238.5000,0.3095,28.4620,0.0785,0.1384,0.0467,218.9000,-0.3066,261.1000,0.3316,29.7376,0.1288,0.1341,0.0488,188.3000,-0.2935,291.7000,0.3432,28.0240,0.1692,0.1240,0.0431,163.0000,-0.2823,317.0000,0.3505,26.3117
63,0.0137,0.0083,0.0008,222.5000,-0.0225,277.5000,0.0395,0.0052,0.1031,0.0211,0.0031,121.0000,-0.0153,359.0000,0.0908,0.0176,0.1635,0.0321,0.0079,70.6000,-0.0135,409.4000,0.1522,0.0000,0.2000,0.0362,0.0084,42.0000,-0.0120,438.0000,0.1835,0.0000,-0.0284,0.1406,0.0418,261.4000,-0.3379,238.6000,0.3107,28.7511,0.0785,0.1393,0.0467,219.2000,-0.3076,260.8000,0.3333,29.8660,0.1293,0.1350,0.0488,188.3000,-0.2946,291.7000,0.3447,28.1945,0.1697,0.1247,0.0432,163.1000,-0.2831,316.9000,0.3519,26.4667
64,0.0141,0.0086,0.0008,222.4000,-0.0228,277.6000,0.0404,0.0095,0.1043,0.0214,0.0032,118.8000,-0.0156,361.2000,0.0918,0.0178,0.1652,0.0325,0.0080,69.0000,-0.0136,411.0000,0.1536,0.0000,0.2016,0.0364,0.0084,41.6000,-0.0119,438.4000,0.1851,0.0000,-0.0285,0.1416,0.0419,261.5000,-0.3393,238.5000,0.3122,28.9859,0.0786,0.1402,0.0468,219.0000,-0.3091,261.0000,0.3342,29.9985,0.1297,0.1358,0.0489,188.1000,-0.2958,291.9000,0.3459,28.2569,0.1701,0.1255,0.0432,163.1000,-0.2841,316.9000,0.3531,26.5924
65,0.0145,0.0089,0.0009,221.3000,-0.0233,278.7000,0.0413,0.0095,0.1054,0.0217,0.0032,118.1000,-0.0156,361.9000,0.0931,0.0180,0.1669,0.0329,0.0080,68.3000,-0.0137,411.7000,0.1554,0.0000,0.2032,0.0367,0.0085,40.8000,-0.0118,439.2000,0.1866,0.0000,-0.0286,0.1425,0.0419,261.4000,-0.3408,238.6000,0.3133,29.0811,0.0786,0.1411,0.0469,219.1000,-0.3103,260.9000,0.3356,30.1415,0.1302,0.1366,0.0490,188.1000,-0.2967,291.9000,0.3473,28.3779,0.1705,0.1262,0.0433,163.1000,-0.2850,316.9000,0.3543,26.7041
66,0.0149,0.0092,0.0009,220.2000,-0.0238,279.8000,0.0422,0.0113,0.1065,0.0221,0.0033,117.4000,-0.0157,362.6000,0.0944,0.0180,0.1685,0.0333,0.0081,67.5000,-0.0137,412.5000,0.1570,0.0090,0.2048,0.0369,0.0086,39.7000,-0.0118,440.3000,0.1879,0.0000,-0.0287,0.1435,0.0420,261.4000,-0.3421,238.6000,0.3146,29.2432,0.0787,0.1419,0.0469,219.2000,-0.3113,260.8000,0.3369,30.2756,0.1306,0.1374,0.0490,188.1000,-0.2977,291.9000,0.3487,28.4548,0.1709,0.1269,0.0434,163.3000,-0.2857,316.7000,0.3556,26.7827
67,0.0153,0.0095,0.0009,219.5000,-0.0242,280.5000,0.0432,0.0157,0.1076,0.0224,0.0033,116.8000,-0.0159,363.2000,0.0958,0.0247,0.1702,0.0337,0.0082,66.1000,-0.0139,413.9000,0.1585,0.0090,0.2063,0.0371,0.0086,38.5000,-0.0118,441.5000,0.1891,0.0000,-0.0288,0.1444,0.0421,261.4000,-0.3434,238.6000,0.3158,29.2698,0.0787,0.1427,0.0470,219.1000,-0.3126,260.9000,0.3378,30.4426,0.1310,0.1382,0.0490,187.9000,-0.2990,292.1000,0.3497,28.5156,0.1712,0.1276,0.0434,163.2000,-0.2867,316.8000,0.3566,26.9310
68,0.0157,0.0098,0.0010,219.2000,-0.0246,280.8000,0.0442,0.0195,0.1087,0.0228,0.0034,115.8000,-0.0160,364.2000,0.0970,0.0355,0.1718,0.0342,0.0082,64.3000,-0.0143,415.7000,0.1597,0.0091,0.2079,0.0373,0.0087,37.7000,-0.0118,442.3000,0.1905,0.0000,-0.0289,0.1452,0.0421,261.4000,-0.3446,238.6000,0.3169,29.4437,0.0788,0.1435,0.0471,219.3000,-0.3134,260.7000,0.3391,30.5475,0.1314,0.1389,0.0491,187.9000,-0.2999,292.1000,0.3511,28.5635,0.1716,0.1282,0.0435,163.3000,-0.2875,316.7000,0.3577,27.0791
